app,io_subsystem,scaling,num_proc,avg_transfer_size_per_read/write,min_transfer_size_per_read/write,max_transfer_size_per_read/write,avg_io_bandwidth_per_read/write,min_io_bandwidth_per_read/write,max_io_bandwidth_per_read/write,avg_io_bandwidth_per_rank,min_io_bandwidth_per_rank,max_io_bandwidth_per_rank,avg_io_time_over_rank,min_io_time_over_rank,max_io_time_over_rank,avg_transfer_time_over_rank,min_transfer_time_over_rank,max_transfer_time_over_rank,avg_io_intensity_over_rank,min_io_intensity_over_rank,max_io_intensity_over_rank
haccio,summit node-local bb,strong-scaling,1024,2638910.3117529396,7.0,25165824.0,4295884762.9417,5571428.571445091,13107200000.20517,3059104089.449948,2267331244.366215,5539802412.166116,0.018256101562500033,0.009534999999999294,0.023297000000000123,0.015704546875000006,0.0087529999999999,0.019545000000000257,0.022838265811190535,0.011929576571754618,0.02919357715020295
haccio,summit node-local bb,weak-scaling,64,2975142.594448728,6.0,25165824.0,3943539114.4217777,4333333.333329,9039448275.861681,3063973281.457231,2283051989.8519526,5230599462.1323805,0.020834234374999993,0.01152700000000001,0.026408999999999905,0.018172265625,0.010782000000000014,0.022003999999999982,0.19069125797899286,0.1044205140450531,0.24305353027235943
haccio,summit node-local bb,weak-scaling,128,2994768.9654637175,6.0,25165824.0,3869571292.8713946,3545454.5454554725,8738133333.33268,3019460517.7389183,2258930725.712783,5133950953.678435,0.021013250000000008,0.011744000000000088,0.026691000000000048,0.01826065625000001,0.011189000000000074,0.022556999999999966,0.1494576999546734,0.08251195800187337,0.1954608576044704
haccio,summit node-local bb,weak-scaling,256,3004679.576406463,6.0,25165824.0,3833378904.1480384,2999999.9999969997,8886237288.137157,3050228684.8892374,2302318619.214911,5317791497.618614,0.020822101562499997,0.011338000000000029,0.02618799999999996,0.018358976562500004,0.010707000000000008,0.022428000000000003,0.13077628409879738,0.07106418974751356,0.1678018912041844
haccio,summit node-local bb,weak-scaling,512,3009659.5214000195,6.0,25165824.0,3805846983.298492,3499999.9999964996,9039448275.866007,3035023071.9083676,2272467963.214251,5430344951.814783,0.020934710937500017,0.011103000000000085,0.026531999999999778,0.018398019531249987,0.010413000000000117,0.022504999999999997,0.06796645683395915,0.035875374541151986,0.0857288093412204
haccio,summit node-local bb,weak-scaling,1024,3012155.6888813,7.0,25165824.0,3797022166.117418,2333333.3333525877,8738133333.324594,3053269773.8524823,2302230707.5489693,5578047923.026842,0.020856782226562485,0.010809000000000513,0.026189000000000018,0.018247364257812523,0.010076000000000307,0.022469999999999657,0.023850399348431802,0.0123931689036279,0.02999194463410088
haccio,cori lustre,strong-scaling,64,4449778.387047032,7.0,25165824.0,1283286240.8637254,4333333.333369091,1976580584.3544226,372869061.3238559,192980224.2295455,826717663.3449163,0.2770910156249999,0.10907899999999984,0.4672889999999995,0.15609701562499997,0.06270699999999968,0.46158199999999994,0.4438906078494151,0.17485597587310348,0.74891113755732
haccio,cori lustre,strong-scaling,128,3489556.8645712067,7.0,25165824.0,1287113608.7898493,3500000.000093644,2041189390.8670557,274646619.6709394,167077516.5223514,601999897.1740017,0.26700221875,0.11670199999999942,0.4204909999999996,0.06627852343749997,0.05237499999999973,0.30876099999999984,0.2762309413558954,0.12079153681032025,0.4349369316766108
haccio,cori lustre,strong-scaling,256,3004679.5758224647,5.0,25165824.0,1282149822.7503347,4999999.999995,2110872672.3704097,327525065.3063228,217877851.6165635,963626076.8112009,0.19741823046874998,0.06256899999999997,0.276729,0.05301738671874998,0.044231999999999994,0.14004799999999998,0.4555325900449764,0.14412370158329163,0.6384096442011364
haccio,cori lustre,strong-scaling,512,2761035.475675149,7.0,25165824.0,1359084145.2574127,3435701.179554389,2473056603.7724066,266280693.7054392,91400651.72416072,881430114.8949058,0.2390981015625001,0.06275299999999998,0.605164,0.054781632812499925,0.03701600000000016,0.477468,0.2638520463231116,0.06933978566522868,0.669501742399848
