App: LBANN-1.0.0-Autoencoder_cifar10_POSIX
I/O Intensity: 
     io_time  comm_time  compute_time  total_time
19  0.000087   0.864300      0.135613         1.0
20  0.000140   0.881208      0.118653         1.0
21  0.000110   0.879769      0.120121         1.0
22  0.000097   0.875754      0.124150         1.0
23  0.000103   0.879488      0.120409         1.0
24  0.000107   0.870392      0.129501         1.0
25  0.000096   0.861525      0.138379         1.0
26  0.000104   0.866597      0.133299         1.0
27  0.000101   0.864701      0.135198         1.0
28  0.000124   0.894352      0.105524         1.0
29  0.000122   0.866936      0.132942         1.0
30  0.000109   0.868856      0.131035         1.0
31  0.000108   0.865436      0.134456         1.0
32  0.000110   0.869748      0.130141         1.0
33  0.000115   0.867248      0.132637         1.0
34  0.000093   0.871403      0.128504         1.0
35  0.000098   0.864206      0.135696         1.0
36  0.000119   0.873718      0.126163         1.0
37  0.000111   0.870144      0.129745         1.0
38  0.000105   0.868240      0.131654         1.0
39  0.000105   0.872267      0.127628         1.0
40  0.000106   0.868565      0.131329         1.0
41  0.000090   0.864737      0.135173         1.0
42  0.000092   0.868474      0.131434         1.0
43  0.000083   0.871295      0.128621         1.0
44  0.000113   0.867866      0.132021         1.0
45  0.000106   0.865070      0.134824         1.0
46  0.000107   0.869693      0.130201         1.0
47  0.000115   0.867762      0.132123         1.0
48  0.000132   0.869797      0.130071         1.0
49  0.000126   0.881433      0.118441         1.0
50  0.000110   0.875898      0.123992         1.0
51  0.000110   0.875095      0.124795         1.0
52  0.000101   0.870485      0.129414         1.0
53  0.000102   0.867060      0.132838         1.0
54  0.000109   0.872123      0.127768         1.0
55  0.000129   0.870154      0.129717         1.0
56  0.000101   0.877040      0.122859         1.0
57  0.000105   0.863189      0.136706         1.0
58  0.000095   0.875017      0.124889         1.0
59  0.000083   0.865001      0.134916         1.0
60  0.000113   0.880227      0.119659         1.0
61  0.000109   0.868450      0.131441         1.0
62  0.000106   0.873921      0.125973         1.0
63  0.000107   0.869302      0.130591         1.0
Mean I/O Intensity over ranks: 
io_time         0.001280
comm_time       0.836005
compute_time    0.162715
total_time      1.000000
==================================


App: LAMMPS-20Mar3-LJ_2D_MPIIO
I/O Intensity: 
     io_time  comm_time  compute_time  total_time
0   0.606100   0.025390      0.368510         1.0
1   0.578619   0.223473      0.197908         1.0
2   0.580474   0.223322      0.196204         1.0
3   0.582266   0.222293      0.195440         1.0
4   0.587491   0.226714      0.185795         1.0
5   0.593169   0.225425      0.181407         1.0
6   0.589187   0.225884      0.184930         1.0
7   0.580420   0.230950      0.188629         1.0
8   0.593171   0.224367      0.182462         1.0
9   0.586719   0.223154      0.190127         1.0
10  0.586783   0.224674      0.188543         1.0
11  0.578515   0.224219      0.197267         1.0
12  0.582487   0.225154      0.192359         1.0
13  0.586760   0.225172      0.188068         1.0
14  0.580890   0.226146      0.192964         1.0
15  0.573090   0.226833      0.200077         1.0
16  0.582684   0.359922      0.057394         1.0
17  0.569539   0.359266      0.071195         1.0
18  0.569771   0.362108      0.068122         1.0
19  0.568801   0.357378      0.073820         1.0
20  0.579545   0.379529      0.040926         1.0
21  0.589561   0.366164      0.044275         1.0
